event_type,time_to_recover,event_timing,team
injuries,169.934,before event,Argentina
injuries,49.936,before event,Argentina
injuries,13.983,after event,Saudi Arabia
injuries,4.576,after event,Saudi Arabia
injuries,53.213,after event,Saudi Arabia
injuries,11.432,after event,Saudi Arabia
injuries,102.282,after event,Saudi Arabia
injuries,49.936,before event,Argentina
injuries,13.983,after event,Saudi Arabia
injuries,4.576,after event,Saudi Arabia
injuries,53.213,after event,Saudi Arabia
injuries,11.432,after event,Saudi Arabia
injuries,102.282,after event,Saudi Arabia
injuries,13.983,before event,Saudi Arabia
injuries,4.576,before event,Saudi Arabia
injuries,53.213,before event,Saudi Arabia
injuries,11.432,before event,Saudi Arabia
injuries,102.282,before event,Saudi Arabia
injuries,1.585,after event,Saudi Arabia
injuries,2.492,after event,Saudi Arabia
injuries,15.101,after event,Argentina
injuries,27.453,after event,Saudi Arabia
injuries,4.234,after event,Saudi Arabia
injuries,56.741,after event,Saudi Arabia
injuries,2.826,after event,Saudi Arabia
injuries,22.974,after event,Saudi Arabia
injuries,13.327,after event,Saudi Arabia
injuries,13.983,before event,Saudi Arabia
injuries,4.576,before event,Saudi Arabia
injuries,53.213,before event,Saudi Arabia
injuries,11.432,before event,Saudi Arabia
injuries,102.282,before event,Saudi Arabia
injuries,1.585,after event,Saudi Arabia
injuries,2.492,after event,Saudi Arabia
injuries,15.101,after event,Argentina
injuries,27.453,after event,Saudi Arabia
injuries,4.234,after event,Saudi Arabia
injuries,56.741,after event,Saudi Arabia
injuries,2.826,after event,Saudi Arabia
injuries,22.974,after event,Saudi Arabia
injuries,13.327,after event,Saudi Arabia
injuries,40.852,before event,Saudi Arabia
injuries,71.598,before event,Argentina
injuries,213.64,before event,Argentina
injuries,4.068,after event,Argentina
injuries,204.302,after event,Saudi Arabia
injuries,40.852,before event,Saudi Arabia
injuries,71.598,before event,Argentina
injuries,213.64,before event,Argentina
injuries,4.068,after event,Argentina
injuries,204.302,after event,Saudi Arabia
injuries,105.629,before event,Saudi Arabia
injuries,25.859,before event,Saudi Arabia
injuries,270.896,before event,Saudi Arabia
injuries,196.615,after event,Saudi Arabia
injuries,105.629,before event,Saudi Arabia
injuries,25.859,before event,Saudi Arabia
injuries,270.896,before event,Saudi Arabia
injuries,196.615,after event,Saudi Arabia
yellow_cards,65.533,before event,Argentina
yellow_cards,15.163,before event,Argentina
yellow_cards,46.173,before event,Saudi Arabia
yellow_cards,25.241,before event,Saudi Arabia
yellow_cards,187.444,before event,Saudi Arabia
yellow_cards,278.466,after event,Saudi Arabia
yellow_cards,11.784,before event,Argentina
yellow_cards,79.993,before event,Saudi Arabia
yellow_cards,324.349,before event,Saudi Arabia
yellow_cards,40.852,after event,Saudi Arabia
yellow_cards,71.598,after event,Argentina
yellow_cards,213.64,after event,Argentina
