event_type,time_to_recover,event_timing,team
substitutions,2.707,before event,France
substitutions,58.441,before event,Australia
substitutions,10.98,before event,Australia
substitutions,65.167,before event,Australia
substitutions,31.766,before event,Australia
substitutions,207.389,before event,Australia
substitutions,42.27,after event,France
substitutions,251.923,after event,Australia
substitutions,58.441,before event,Australia
substitutions,10.98,before event,Australia
substitutions,65.167,before event,Australia
substitutions,31.766,before event,Australia
substitutions,207.389,before event,Australia
substitutions,42.27,after event,France
substitutions,251.923,after event,Australia
substitutions,42.27,before event,France
substitutions,251.923,before event,Australia
substitutions,33.272,after event,France
substitutions,42.913,after event,France
substitutions,42.27,before event,France
substitutions,251.923,before event,Australia
substitutions,33.272,after event,France
substitutions,42.913,after event,France
substitutions,13.064,after event,France
substitutions,7.624,before event,France
substitutions,46.217,before event,France
substitutions,21.81,before event,France
substitutions,53.487,before event,Tunisia
substitutions,87.934,after event,France
substitutions,167.148,after event,France
substitutions,87.934,before event,France
substitutions,167.148,before event,France
substitutions,70.525,after event,France
substitutions,91.398,after event,France
substitutions,87.934,before event,France
substitutions,167.148,before event,France
substitutions,70.525,after event,France
substitutions,91.398,after event,France
substitutions,87.934,before event,France
substitutions,167.148,before event,France
substitutions,70.525,after event,France
substitutions,91.398,after event,France
substitutions,123.106,before event,France
substitutions,34.615,before event,Tunisia
substitutions,1.032,before event,Tunisia
substitutions,40.398,before event,Tunisia
substitutions,5.275,before event,Tunisia
substitutions,9.884,before event,France
substitutions,199.786,after event,Tunisia
substitutions,9.896,after event,Tunisia
substitutions,34.436,after event,Tunisia
substitutions,4.101,after event,France
substitutions,5.108,after event,France
substitutions,187.128,after event,Tunisia
substitutions,34.615,before event,Tunisia
substitutions,1.032,before event,Tunisia
substitutions,40.398,before event,Tunisia
substitutions,5.275,before event,Tunisia
substitutions,9.884,before event,France
substitutions,199.786,before event,Tunisia
substitutions,9.896,after event,Tunisia
substitutions,34.436,after event,Tunisia
substitutions,4.101,after event,France
substitutions,5.108,after event,France
substitutions,187.128,after event,Tunisia
substitutions,9.896,before event,Tunisia
substitutions,34.436,before event,Tunisia
substitutions,4.101,before event,France
substitutions,5.108,before event,France
substitutions,187.128,before event,Tunisia
substitutions,101.068,after event,Tunisia
substitutions,20.672,after event,Tunisia
substitutions,62.949,after event,Tunisia
substitutions,101.068,before event,Tunisia
substitutions,20.672,before event,Tunisia
substitutions,62.949,before event,Tunisia
substitutions,125.579,after event,Tunisia
substitutions,138.846,after event,Tunisia
substitutions,299.167,after event,Tunisia
substitutions,6.364,before event,France
substitutions,148.048,before event,France
substitutions,1.286,before event,France
substitutions,23.329,after event,Poland
substitutions,102.41,after event,Poland
substitutions,80.091,after event,Poland
substitutions,66.135,after event,Poland
substitutions,1.286,before event,France
substitutions,23.329,before event,Poland
substitutions,102.41,before event,Poland
substitutions,80.091,after event,Poland
substitutions,66.135,after event,Poland
substitutions,18.938,after event,Poland
