event_type,time_to_recover,event_timing,team
all_goals,5.8629999999999995,before event,Croatia
all_goals,44.694,before event,Croatia
all_goals,71.573,before event,Croatia
all_goals,1.603,before event,Argentina
all_goals,2.56,after event,Croatia
all_goals,25.088,after event,Argentina
all_goals,23.31,after event,Argentina
all_goals,30.552,after event,Argentina
all_goals,2.819,after event,Croatia
all_goals,1.31,after event,Croatia
all_goals,57.465,after event,Argentina
all_goals,1.178,after event,Argentina
all_goals,2.56,before event,Croatia
all_goals,25.088,before event,Argentina
all_goals,23.31,before event,Argentina
all_goals,30.552,before event,Argentina
all_goals,2.819,before event,Croatia
all_goals,1.31,before event,Croatia
all_goals,57.465,before event,Argentina
all_goals,1.178,before event,Argentina
all_goals,6.969,after event,Croatia
all_goals,292.902,after event,Croatia
all_goals,1.8199999999999998,before event,Croatia
all_goals,119.521,before event,Argentina
all_goals,1.259,before event,Argentina
all_goals,46.772,before event,Croatia
all_goals,15.137,before event,Croatia
all_goals,34.696,before event,Argentina
all_goals,115.841,after event,Argentina
all_goals,256.023,after event,Argentina
substitutions,160.128,after event,Argentina
substitutions,16.473,after event,Argentina
substitutions,4.48,after event,Argentina
substitutions,154.769,after event,Argentina
substitutions,160.128,after event,Argentina
substitutions,16.473,after event,Argentina
substitutions,4.48,after event,Argentina
substitutions,154.769,after event,Argentina
substitutions,160.128,before event,Argentina
substitutions,16.473,before event,Argentina
substitutions,4.48,before event,Argentina
substitutions,154.769,before event,Argentina
substitutions,72.869,after event,Argentina
substitutions,188.187,after event,Argentina
substitutions,136.35,before event,Argentina
substitutions,10.323,before event,Argentina
substitutions,182.479,before event,Argentina
substitutions,39.948,after event,Argentina
substitutions,2.841,after event,Argentina
substitutions,70.413,after event,Croatia
substitutions,1.8199999999999998,after event,Croatia
substitutions,119.521,after event,Argentina
substitutions,1.259,after event,Argentina
substitutions,15.137,before event,Croatia
substitutions,34.696,before event,Argentina
substitutions,115.841,before event,Argentina
substitutions,256.023,after event,Argentina
substitutions,115.841,before event,Argentina
substitutions,256.023,before event,Argentina
substitutions,81.308,after event,Argentina
substitutions,50.281,after event,Argentina
substitutions,115.841,before event,Argentina
substitutions,256.023,before event,Argentina
substitutions,81.308,after event,Argentina
substitutions,50.281,after event,Argentina
substitutions,81.308,before event,Argentina
substitutions,50.281,before event,Argentina
substitutions,107.397,before event,Croatia
substitutions,1.143,after event,Argentina
substitutions,73.127,after event,Croatia
substitutions,22.8,after event,Croatia
substitutions,163.559,after event,Croatia
substitutions,1.143,before event,Argentina
substitutions,73.127,before event,Croatia
substitutions,22.8,before event,Croatia
substitutions,163.559,before event,Croatia
substitutions,3.447,after event,Croatia
substitutions,142.807,after event,Argentina
substitutions,5.808,after event,Argentina
substitutions,22.179,after event,Croatia
substitutions,6.103,after event,Croatia
substitutions,49.701,after event,Croatia
substitutions,1.143,before event,Argentina
substitutions,73.127,before event,Croatia
substitutions,22.8,before event,Croatia
substitutions,163.559,before event,Croatia
substitutions,3.447,after event,Croatia
substitutions,142.807,after event,Argentina
substitutions,5.808,after event,Argentina
substitutions,22.179,after event,Croatia
substitutions,6.103,after event,Croatia
substitutions,49.701,after event,Croatia
substitutions,58.937,after event,Croatia
tactical_shifts,160.128,after event,Argentina
tactical_shifts,16.473,after event,Argentina
tactical_shifts,4.48,after event,Argentina
tactical_shifts,154.769,after event,Argentina
tactical_shifts,160.128,before event,Argentina
tactical_shifts,16.473,before event,Argentina
tactical_shifts,4.48,before event,Argentina
tactical_shifts,154.769,before event,Argentina
tactical_shifts,72.869,after event,Argentina
tactical_shifts,188.187,after event,Argentina
tactical_shifts,136.35,before event,Argentina
tactical_shifts,10.323,before event,Argentina
tactical_shifts,182.479,before event,Argentina
tactical_shifts,39.948,after event,Argentina
tactical_shifts,2.841,after event,Argentina
tactical_shifts,70.413,after event,Croatia
tactical_shifts,1.8199999999999998,after event,Croatia
tactical_shifts,119.521,after event,Argentina
tactical_shifts,1.259,after event,Argentina
tactical_shifts,46.772,after event,Croatia
injuries,160.128,before event,Argentina
injuries,16.473,before event,Argentina
injuries,4.48,before event,Argentina
injuries,154.769,before event,Argentina
injuries,72.869,after event,Argentina
injuries,188.187,after event,Argentina
injuries,20.654,before event,Argentina
injuries,136.35,before event,Argentina
injuries,10.323,after event,Argentina
injuries,182.479,after event,Argentina
injuries,39.948,after event,Argentina
injuries,20.654,before event,Argentina
injuries,136.35,before event,Argentina
injuries,10.323,after event,Argentina
injuries,182.479,after event,Argentina
injuries,39.948,after event,Argentina
yellow_cards,3.539,before event,Argentina
yellow_cards,21.029,before event,Argentina
yellow_cards,5.8629999999999995,before event,Croatia
yellow_cards,44.694,before event,Croatia
yellow_cards,71.573,before event,Croatia
yellow_cards,1.603,before event,Argentina
yellow_cards,2.56,after event,Croatia
yellow_cards,25.088,after event,Argentina
yellow_cards,23.31,after event,Argentina
yellow_cards,30.552,after event,Argentina
yellow_cards,2.841,before event,Argentina
yellow_cards,70.413,before event,Croatia
yellow_cards,1.8199999999999998,before event,Croatia
yellow_cards,119.521,before event,Argentina
yellow_cards,1.259,before event,Argentina
yellow_cards,46.772,before event,Croatia
yellow_cards,15.137,before event,Croatia
yellow_cards,34.696,after event,Argentina
yellow_cards,115.841,after event,Argentina
