Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
France,3857275,Tunisia,Substitutions,No,70.93,63.27,Yes,0.6979
France,3857275,Tunisia,Injuries,No,77.58,85.07,No,0.8832
