Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
Argentina,3869151,Australia,Substitutions,No,175.41,120.40,Yes,0.5837
Argentina,3869151,Australia,Injuries,No,80.38,86.32,No,0.7496
