event_type,time_to_recover,event_timing,team
all_goals,95.331,before event,Argentina
all_goals,41.073,before event,Argentina
all_goals,5.819,before event,Argentina
all_goals,56.828,after event,Mexico
all_goals,158.954,after event,Mexico
all_goals,5.729,before event,Argentina
all_goals,31.03,before event,Mexico
all_goals,4.212,after event,Mexico
all_goals,11.762,after event,Argentina
all_goals,92.43,after event,Mexico
all_goals,7.374,after event,Mexico
all_goals,12.56,after event,Mexico
all_goals,135.65,after event,Argentina
substitutions,63.842,before event,Mexico
substitutions,305.383,before event,Mexico
substitutions,19.262,after event,Mexico
substitutions,2.894,after event,Mexico
substitutions,335.045,after event,Argentina
substitutions,168.223,before event,Argentina
substitutions,150.527,before event,Mexico
substitutions,9.278,after event,Mexico
substitutions,51.14,after event,Argentina
substitutions,95.331,after event,Argentina
substitutions,41.073,after event,Argentina
substitutions,9.278,before event,Mexico
substitutions,51.14,before event,Argentina
substitutions,95.331,before event,Argentina
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,9.278,before event,Mexico
substitutions,51.14,before event,Argentina
substitutions,95.331,before event,Argentina
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,54.366,after event,Mexico
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,54.366,after event,Mexico
substitutions,56.828,before event,Mexico
substitutions,158.954,before event,Mexico
substitutions,54.366,after event,Mexico
substitutions,72.473,after event,Argentina
substitutions,10.746,after event,Argentina
substitutions,19.004,after event,Argentina
substitutions,56.828,before event,Mexico
substitutions,158.954,before event,Mexico
substitutions,54.366,after event,Mexico
substitutions,72.473,after event,Argentina
substitutions,10.746,after event,Argentina
substitutions,19.004,after event,Argentina
substitutions,5.916,after event,Argentina
substitutions,2.547,after event,Argentina
substitutions,40.157,after event,Mexico
substitutions,54.366,before event,Mexico
substitutions,72.473,before event,Argentina
substitutions,10.746,before event,Argentina
substitutions,19.004,after event,Argentina
substitutions,5.916,after event,Argentina
substitutions,2.547,after event,Argentina
substitutions,40.157,after event,Mexico
substitutions,9.45,after event,Mexico
substitutions,10.462,after event,Mexico
substitutions,105.103,after event,Argentina
substitutions,14.675,after event,Argentina
substitutions,10.596,after event,Argentina
substitutions,236.738,after event,Mexico
tactical_shifts,38.286,after event,Argentina
tactical_shifts,81.793,after event,Mexico
tactical_shifts,28.321,after event,Mexico
tactical_shifts,42.146,after event,Mexico
tactical_shifts,183.948,after event,Mexico
tactical_shifts,41.073,before event,Argentina
tactical_shifts,5.819,before event,Argentina
tactical_shifts,56.828,after event,Mexico
tactical_shifts,158.954,after event,Mexico
tactical_shifts,54.366,after event,Mexico
tactical_shifts,72.473,after event,Argentina
tactical_shifts,56.828,before event,Mexico
tactical_shifts,158.954,before event,Mexico
tactical_shifts,54.366,after event,Mexico
tactical_shifts,72.473,after event,Argentina
tactical_shifts,10.746,after event,Argentina
tactical_shifts,19.004,after event,Argentina
tactical_shifts,5.916,after event,Argentina
tactical_shifts,2.547,after event,Argentina
tactical_shifts,40.157,after event,Mexico
injuries,32.927,before event,Argentina
injuries,191.208,before event,Mexico
injuries,169.4,before event,Mexico
injuries,63.543,after event,Mexico
injuries,15.95,after event,Mexico
injuries,111.81,after event,Argentina
injuries,32.927,before event,Argentina
injuries,191.208,before event,Mexico
injuries,169.4,before event,Mexico
injuries,63.543,after event,Mexico
injuries,15.95,after event,Mexico
injuries,111.81,after event,Argentina
injuries,169.4,before event,Mexico
injuries,63.543,before event,Mexico
injuries,15.95,before event,Mexico
injuries,111.81,before event,Argentina
injuries,79.564,after event,Mexico
injuries,56.505,after event,Mexico
injuries,92.642,after event,Mexico
injuries,56.505,before event,Mexico
injuries,92.642,before event,Mexico
injuries,67.38,before event,Mexico
injuries,184.791,before event,Mexico
injuries,8.559,after event,Mexico
injuries,131.968,after event,Argentina
injuries,56.505,before event,Mexico
injuries,92.642,before event,Mexico
injuries,67.38,before event,Mexico
injuries,184.791,before event,Mexico
injuries,8.559,after event,Mexico
injuries,131.968,after event,Argentina
injuries,8.559,before event,Mexico
injuries,131.968,before event,Argentina
injuries,5.172,before event,Argentina
injuries,84.217,before event,Mexico
injuries,213.681,after event,Mexico
injuries,44.129,after event,Mexico
injuries,213.681,before event,Mexico
injuries,44.129,before event,Mexico
injuries,188.414,before event,Argentina
injuries,73.312,after event,Mexico
injuries,133.263,after event,Mexico
injuries,44.129,before event,Mexico
injuries,188.414,before event,Argentina
injuries,73.312,before event,Mexico
injuries,133.263,after event,Mexico
injuries,67.772,after event,Argentina
injuries,62.143,after event,Mexico
injuries,73.312,before event,Mexico
injuries,133.263,before event,Mexico
injuries,67.772,after event,Argentina
injuries,62.143,after event,Mexico
injuries,63.842,after event,Mexico
injuries,305.383,after event,Mexico
injuries,73.312,before event,Mexico
injuries,133.263,before event,Mexico
injuries,67.772,before event,Argentina
injuries,62.143,after event,Mexico
injuries,63.842,after event,Mexico
injuries,305.383,after event,Mexico
injuries,73.312,before event,Mexico
injuries,133.263,before event,Mexico
injuries,67.772,before event,Argentina
injuries,62.143,before event,Mexico
injuries,63.842,after event,Mexico
injuries,305.383,after event,Mexico
injuries,19.262,before event,Mexico
injuries,2.894,before event,Mexico
injuries,335.045,before event,Argentina
injuries,4.212,before event,Mexico
injuries,11.762,before event,Argentina
injuries,92.43,before event,Mexico
injuries,7.374,before event,Mexico
injuries,12.56,before event,Mexico
injuries,135.65,before event,Argentina
injuries,31.414,after event,Argentina
injuries,111.241,after event,Argentina
injuries,4.142,after event,Argentina
injuries,58.881,after event,Mexico
injuries,4.212,before event,Mexico
injuries,11.762,before event,Argentina
injuries,92.43,before event,Mexico
injuries,7.374,before event,Mexico
injuries,12.56,before event,Mexico
injuries,135.65,before event,Argentina
injuries,31.414,after event,Argentina
injuries,111.241,after event,Argentina
injuries,4.142,after event,Argentina
injuries,58.881,after event,Mexico
yellow_cards,8.559,before event,Mexico
yellow_cards,131.968,before event,Argentina
yellow_cards,5.172,before event,Argentina
yellow_cards,84.217,after event,Mexico
yellow_cards,213.681,after event,Mexico
yellow_cards,44.129,after event,Mexico
yellow_cards,19.262,before event,Mexico
yellow_cards,2.894,before event,Mexico
yellow_cards,335.045,after event,Argentina
yellow_cards,38.286,before event,Argentina
yellow_cards,81.793,before event,Mexico
yellow_cards,28.321,before event,Mexico
yellow_cards,42.146,before event,Mexico
yellow_cards,183.948,before event,Mexico
yellow_cards,168.223,after event,Argentina
yellow_cards,41.073,before event,Argentina
yellow_cards,5.819,before event,Argentina
yellow_cards,56.828,before event,Mexico
yellow_cards,158.954,after event,Mexico
yellow_cards,54.366,after event,Mexico
yellow_cards,72.473,after event,Argentina
yellow_cards,31.03,before event,Mexico
yellow_cards,4.212,before event,Mexico
yellow_cards,11.762,before event,Argentina
yellow_cards,92.43,after event,Mexico
yellow_cards,7.374,after event,Mexico
yellow_cards,12.56,after event,Mexico
yellow_cards,135.65,after event,Argentina
yellow_cards,31.414,after event,Argentina
yellow_cards,111.241,after event,Argentina
