Team,Match ID,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
Argentina,All Matches,Injuries,Yes,113.31,73.44,Yes,0.0043
France,All Matches,All Goals,Yes,50.23,113.46,No,0.0123
