Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
Argentina,3857289,Mexico,Yellow Cards,Yes,39.01,142.34,No,0.0411
Argentina,3857300,Saudi Arabia,Substitutions,Yes,92.16,43.42,Yes,0.0201
Argentina,3857300,Saudi Arabia,Injuries,Yes,113.01,7.12,Yes,0.0008
France,3869685,Argentina,Substitutions,Yes,61.73,35.14,Yes,0.0283
