Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
France,3857279,Australia,All Goals,No,37.92,61.26,No,0.3692
France,3857279,Australia,Substitutions,No,19.37,45.66,No,0.2025
