event_type,time_to_recover,event_timing,team
substitutions,63.378,before event,Poland
substitutions,177.058,before event,Poland
substitutions,23.112,before event,Poland
substitutions,83.895,after event,Argentina
substitutions,148.551,after event,Argentina
substitutions,3.891,after event,Argentina
substitutions,137.765,before event,Poland
substitutions,2.395,before event,Poland
substitutions,342.484,before event,Argentina
substitutions,64.396,after event,Argentina
substitutions,64.396,before event,Argentina
substitutions,395.624,before event,Poland
substitutions,64.396,before event,Argentina
substitutions,395.624,before event,Poland
substitutions,3.278,after event,Poland
substitutions,44.125,after event,Argentina
substitutions,9.768,after event,Poland
substitutions,125.821,after event,Poland
substitutions,3.278,after event,Poland
substitutions,44.125,after event,Argentina
substitutions,9.768,after event,Poland
substitutions,125.821,after event,Poland
substitutions,63.842,before event,Mexico
substitutions,305.383,before event,Mexico
substitutions,19.262,after event,Mexico
substitutions,2.894,after event,Mexico
substitutions,335.045,after event,Argentina
substitutions,168.223,before event,Argentina
substitutions,150.527,before event,Mexico
substitutions,9.278,after event,Mexico
substitutions,51.14,after event,Argentina
substitutions,95.331,after event,Argentina
substitutions,41.073,after event,Argentina
substitutions,9.278,before event,Mexico
substitutions,51.14,before event,Argentina
substitutions,95.331,before event,Argentina
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,9.278,before event,Mexico
substitutions,51.14,before event,Argentina
substitutions,95.331,before event,Argentina
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,54.366,after event,Mexico
substitutions,41.073,before event,Argentina
substitutions,5.819,before event,Argentina
substitutions,56.828,after event,Mexico
substitutions,158.954,after event,Mexico
substitutions,54.366,after event,Mexico
substitutions,56.828,before event,Mexico
substitutions,158.954,before event,Mexico
substitutions,54.366,after event,Mexico
substitutions,72.473,after event,Argentina
substitutions,10.746,after event,Argentina
substitutions,19.004,after event,Argentina
substitutions,56.828,before event,Mexico
substitutions,158.954,before event,Mexico
substitutions,54.366,after event,Mexico
substitutions,72.473,after event,Argentina
substitutions,10.746,after event,Argentina
substitutions,19.004,after event,Argentina
substitutions,5.916,after event,Argentina
substitutions,2.547,after event,Argentina
substitutions,40.157,after event,Mexico
substitutions,54.366,before event,Mexico
substitutions,72.473,before event,Argentina
substitutions,10.746,before event,Argentina
substitutions,19.004,after event,Argentina
substitutions,5.916,after event,Argentina
substitutions,2.547,after event,Argentina
substitutions,40.157,after event,Mexico
substitutions,9.45,after event,Mexico
substitutions,10.462,after event,Mexico
substitutions,105.103,after event,Argentina
substitutions,14.675,after event,Argentina
substitutions,10.596,after event,Argentina
substitutions,236.738,after event,Mexico
substitutions,1.817,before event,Saudi Arabia
substitutions,72.097,before event,Saudi Arabia
substitutions,5.91,before event,Saudi Arabia
substitutions,32.177,before event,Saudi Arabia
substitutions,131.431,before event,Argentina
substitutions,169.934,before event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
